"school";"sex";"age";"address";"famsize";"Pstatus";"Medu";"Fedu";"Mjob";"Fjob";"reason";"nursery";"internet";"guardian";"traveltime";"studytime";"failures";"schoolsup";"famsup";"paid";"activities";"higher";"romantic";"famrel";"freetime";"goout";"Dalc";"Walc";"health";"absences";"G1";"G2";"alc_use";"high_use"
"1";"GP";"F";16;"U";"GT3";"T";4;4;"services";"services";"reputation";"yes";"yes";"mother";1;3;0;"no";"yes";"yes";"yes";"yes";"no";3;2;3;1;2;2;8;13;14;1.5;FALSE
"2";"GP";"M";15;"U";"LE3";"T";3;3;"other";"other";"course";"no";"yes";"mother";1;2;0;"no";"no";"no";"yes";"yes";"no";5;3;2;1;1;2;0;10;11;1;FALSE
"3";"GP";"F";16;"U";"LE3";"T";2;2;"services";"services";"course";"yes";"yes";"mother";3;2;0;"no";"yes";"yes";"no";"yes";"no";4;3;3;2;3;4;1;13;13;2.5;TRUE
"4";"GP";"F";15;"U";"LE3";"A";3;3;"other";"other";"other";"yes";"yes";"mother";1;1;0;"no";"no";"yes";"no";"yes";"no";5;3;4;4;4;1;3;12;12;4;TRUE
"5";"GP";"F";15;"U";"GT3";"A";4;3;"services";"services";"reputation";"yes";"yes";"mother";1;2;0;"no";"yes";"yes";"yes";"yes";"no";4;3;2;1;1;1;0;14;14;1;FALSE
"6";"GP";"F";16;"U";"GT3";"T";4;2;"services";"other";"course";"yes";"yes";"mother";1;2;0;"no";"yes";"no";"no";"yes";"no";4;2;3;1;1;5;2;16;16;1;FALSE
"7";"GP";"M";15;"U";"GT3";"A";4;4;"other";"services";"reputation";"no";"yes";"mother";1;4;0;"no";"yes";"no";"yes";"yes";"yes";1;3;3;5;5;3;2;12;12;5;TRUE
"8";"GP";"M";15;"U";"GT3";"T";4;2;"other";"other";"course";"yes";"yes";"mother";1;4;0;"no";"no";"no";"no";"yes";"no";3;3;3;1;1;3;0;10;10;1;FALSE
"9";"GP";"M";16;"U";"GT3";"T";3;1;"other";"other";"reputation";"yes";"no";"mother";1;1;0;"no";"no";"no";"yes";"yes";"no";5;3;2;2;2;5;1;12;12;2;FALSE
"10";"GP";"F";16;"U";"GT3";"T";3;3;"other";"services";"home";"yes";"yes";"mother";1;2;0;"yes";"yes";"yes";"yes";"yes";"no";4;3;3;2;4;5;29;11;12;3;TRUE
"11";"GP";"M";17;"U";"GT3";"T";2;1;"other";"other";"home";"yes";"yes";"mother";2;1;3;"yes";"yes";"no";"yes";"no";"no";4;5;1;1;1;3;1;8;8;1;FALSE
"12";"GP";"M";15;"U";"GT3";"T";2;3;"other";"services";"course";"no";"yes";"father";1;1;0;"yes";"yes";"yes";"yes";"yes";"yes";3;2;2;1;3;3;1;10;12;2;FALSE
"13";"GP";"F";16;"U";"LE3";"T";2;4;"other";"health";"course";"yes";"yes";"father";2;2;0;"no";"yes";"yes";"yes";"yes";"yes";4;2;2;1;2;5;2;14;12;1.5;FALSE
"14";"GP";"M";16;"U";"GT3";"T";4;4;"health";"other";"course";"yes";"yes";"mother";1;1;0;"no";"yes";"no";"yes";"yes";"no";3;4;4;1;4;5;11;13;12;2.5;TRUE
"15";"GP";"F";15;"U";"LE3";"A";3;4;"other";"other";"home";"yes";"yes";"mother";1;2;0;"yes";"no";"no";"yes";"yes";"yes";5;3;2;1;1;1;0;8;10;1;FALSE
"16";"GP";"F";17;"U";"LE3";"T";2;2;"other";"other";"course";"yes";"yes";"father";1;1;0;"no";"yes";"no";"no";"yes";"yes";3;4;4;1;3;5;7;12;12;2;FALSE
